Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Bruto;Tipo Agregado
Apartamento;Barra da Tijuca;4;2;1;110;4300.0;1380.0;150.0;5830.0;Apartamento
Apartamento;Ipanema;1;0;0;54;3800.0;781.0;0.0;4581.0;Apartamento
Apartamento;Copacabana;1;0;1;37;2300.0;442.0;22.0;2764.0;Apartamento
Apartamento;Barra da Tijuca;4;4;4;350;10000.0;2800.0;1700.0;14500.0;Apartamento
Apartamento;Copacabana;3;0;0;135;3600.0;1300.0;160.0;5060.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;78;6500.0;1650.0;350.0;8500.0;Apartamento
Apartamento;Copacabana;3;1;0;103;2000.0;1200.0;200.0;3400.0;Apartamento
Apartamento;Ipanema;2;1;2;105;8000.0;4000.0;412.0;12412.0;Apartamento
Apartamento;Tijuca;2;1;1;70;1800.0;570.0;0.0;2370.0;Apartamento
Apartamento;Copacabana;3;1;1;138;3000.0;1043.0;245.0;4288.0;Apartamento
Apartamento;Tijuca;2;1;0;60;1900.0;560.0;49.0;2509.0;Apartamento
Apartamento;Tijuca;2;1;0;68;1800.0;690.0;120.0;2610.0;Apartamento
Apartamento;Copacabana;3;0;0;100;2700.0;925.0;152.0;3777.0;Apartamento
Apartamento;Flamengo;2;1;1;84;2400.0;1030.0;174.0;3604.0;Apartamento
Apartamento;Leblon;2;1;1;80;4500.0;1100.0;0.0;5600.0;Apartamento
Apartamento;Ipanema;3;1;1;120;4300.0;1910.0;354.0;6564.0;Apartamento
Apartamento;Ipanema;3;1;1;140;7200.0;2900.0;500.0;10600.0;Apartamento
Apartamento;Botafogo;3;2;1;170;4500.0;1900.0;300.0;6700.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;79;4000.0;2630.0;495.0;7125.0;Apartamento
Apartamento;Tijuca;3;1;1;117;1900.0;816.0;0.0;2716.0;Apartamento
Apartamento;Tijuca;2;0;0;78;1400.0;830.0;67.0;2297.0;Apartamento
Apartamento;Tijuca;3;0;0;83;1390.0;650.0;80.0;2120.0;Apartamento
Apartamento;Copacabana;4;2;1;270;4750.0;2900.0;510.0;8160.0;Apartamento
Apartamento;Botafogo;2;1;1;80;3200.0;800.0;150.0;4150.0;Apartamento
Apartamento;Copacabana;2;1;0;124;6000.0;1442.0;470.0;7912.0;Apartamento
Apartamento;Botafogo;3;0;1;60;3900.0;1440.0;307.0;5647.0;Apartamento
Apartamento;Botafogo;2;0;0;70;2000.0;751.0;88.0;2839.0;Apartamento
Apartamento;Botafogo;3;1;1;98;4500.0;1550.0;245.0;6295.0;Apartamento
Apartamento;Botafogo;1;0;0;46;1800.0;540.0;24.0;2364.0;Apartamento
Apartamento;Copacabana;3;0;0;106;2200.0;888.0;160.0;3248.0;Apartamento
Apartamento;Copacabana;1;0;0;32;1800.0;330.0;25.0;2155.0;Apartamento
Apartamento;Copacabana;1;0;0;40;1900.0;380.0;58.0;2338.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1250.0;70.0;3220.0;Apartamento
Apartamento;Botafogo;2;0;0;76;3000.0;619.0;0.0;3619.0;Apartamento
Apartamento;Flamengo;1;0;1;75;3200.0;281.0;69.0;3550.0;Apartamento
Apartamento;Ipanema;3;2;1;170;6000.0;2200.0;380.0;8580.0;Apartamento
Apartamento;Flamengo;2;0;0;60;2200.0;410.0;852.0;3462.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;75;2100.0;1043.0;245.0;3388.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;100;3500.0;1450.0;0.0;4950.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;75;1900.0;984.0;280.0;3164.0;Apartamento
Apartamento;Ipanema;2;0;0;60;2900.0;507.0;125.0;3532.0;Apartamento
Apartamento;Barra da Tijuca;3;1;1;70;1400.0;750.0;132.0;2282.0;Apartamento
Apartamento;Flamengo;1;0;0;41;1800.0;483.0;67.0;2350.0;Apartamento
Apartamento;Leblon;3;1;0;98;3500.0;1424.0;1192.0;6116.0;Apartamento
Apartamento;Tijuca;2;2;1;69;2000.0;854.0;0.0;2854.0;Apartamento
Apartamento;Botafogo;3;1;0;206;6000.0;2000.0;323.0;8323.0;Apartamento
